Name,URL,Price,Location
Room Loft available Jingletown Oakland,http://sfbay.craigslist.org/sby/apa/d/room-loft-available/6218728224.html,$1450, (2934 Ford St)
Room Loft in a 2400/sf Live/Work Artist Space-Jingletown,http://sfbay.craigslist.org/sby/apa/d/room-loft-in-sf-livework/6218730413.html,$1450, (2934 Ford St)
Studios in Historic Victorian,http://sfbay.craigslist.org/sby/apa/d/studios-in-historic/6185424262.html,$1400, (san jose downtown)
Available Now $1425 Cambrian Park Studios Apartment,http://sfbay.craigslist.org/sby/apa/d/available-now-cambrian-park/6216652772.html,$1425, (willow glen / cambrian)
1 bed studio a block from campus,http://sfbay.craigslist.org/eby/apa/d/bed-studio-block-from-campus/6219798626.html,$1200, (berkeley)
READY TO RENT-- Attached studio cottage in North Napa neighborhood,http://sfbay.craigslist.org/nby/apa/d/ready-to-rent-attached/6205825636.html,$1100, (napa county)
Remodeled Studio In Law Room,http://sfbay.craigslist.org/sfc/apa/d/remodeled-studio-in-law-room/6206438976.html,$1200, (richmond / seacliff)
Bright&Cozy Studio*15 mins ride to CCSF* UCSF HWY 101,http://sfbay.craigslist.org/sfc/apa/d/brightcozy-studio-mins-ride/6227085951.html,$1400,
Newly Remodeled Studio *UCSF*SFSU*By HWY 101,http://sfbay.craigslist.org/sfc/apa/d/newly-remodeled-studio/6227086426.html,$1400,
"Open House Sunday, July 23 11am - 3pm - Studio In Law unit avail 8/1",http://sfbay.craigslist.org/nby/apa/d/open-house-sunday-july-am/6200495529.html,$1200, (petaluma)
Remodeled studio in glenview utilities included,http://sfbay.craigslist.org/eby/apa/d/remodeled-studio-in/6208739078.html,$1450, (oakland east)
Studio/1bedroom inlaw for rent.,http://sfbay.craigslist.org/sfc/apa/d/studio-bedroom-inlaw-for/6226826698.html,$1400, (Crocker amazon)
"Great Studio Near Lake Merritt, Close to Fine Dining and Shopping Call",http://sfbay.craigslist.org/eby/apa/d/great-studio-near-lake/6217936595.html,$1495, (oakland lake merritt / grand)
"Private Country Setting for RV, Trailer or Tiny House with Studio",http://sfbay.craigslist.org/nby/apa/d/private-country-setting-for/6226774334.html,$1000, (sebastopol)
Remodel Studio-Near SFSU-Free Laundry (ingleside / SFSU / CCSF),http://sfbay.craigslist.org/sfc/apa/d/remodel-studio-near-sfsu/6219674724.html,$1450, (ingleside / SFSU / CCSF)
Nice updated studio apt w/ parking in a very convenient location,http://sfbay.craigslist.org/eby/apa/d/nice-updated-studio-apt/6226639401.html,$1445, (san leandro)
Bright and Cozy Studio*By HWY 101* UCSF* CCSF,http://sfbay.craigslist.org/sfc/apa/d/bright-and-cozy-studioby/6226381807.html,$1400,
!!!Studio in Downtown Oakland/Convenient Location!!!,http://sfbay.craigslist.org/eby/apa/d/studio-in-downtown-oakland/6226447084.html,$1350, (oakland downtown)
!!!Wonderful studio available!! Your search ends here!!!,http://sfbay.craigslist.org/eby/apa/d/wonderful-studio-available/6226448129.html,$1475, (oakland east)
Downstairs Napa Studio Apartment,http://sfbay.craigslist.org/nby/apa/d/downstairs-napa-studio/6196963032.html,$1100, (napa county)
newly remodeled Studio *25mins ride to SFSU*UCSF,http://sfbay.craigslist.org/sfc/apa/d/newly-remodeled-studio-mins/6226385412.html,$1400,
Bernal Studio!,http://sfbay.craigslist.org/sfc/apa/d/bernal-studio/6215263743.html,$1425, (bernal heights)
Lafayette Studio apartment  one mile from BART,http://sfbay.craigslist.org/eby/apa/d/lafayette-studio-apartment/6226221399.html,$1350, (lafayette / orinda / moraga)
VINTAGE 1920s STUDIO:  BEAUTIFUL: NR MacARTHUR BART: MUST SEE !,http://sfbay.craigslist.org/eby/apa/d/vintage-studio-beautiful-nr/6218685293.html,$1499, (oakland west)
VINTAGE 1920s STUDIO/ JR 1 BDRM :  BEAUTIFUL: NR MacARTHUR BART,http://sfbay.craigslist.org/eby/apa/d/vintage-studio-jr-bdrm/6218686379.html,$1499, (oakland north / temescal)
Studio Appartment One Block To Bart,http://sfbay.craigslist.org/eby/apa/d/studio-appartment-one-block/6225866679.html,$1300, (richmond / point / annex)
"Se renta Estudio-Studio for Rent -$1,000- 3 blocks from Fruitvale BART",http://sfbay.craigslist.org/eby/apa/d/se-renta-estudio-studio-for/6225798643.html,$1000, (oakland east)
Studio for rent,http://sfbay.craigslist.org/eby/apa/d/studio-for-rent/6225757027.html,$1475, (lafayette / orinda / moraga)
Charming Studio 1 Gig Internet Available,http://sfbay.craigslist.org/sfc/apa/d/charming-studio-gig/6225683572.html,$1500, (downtown / civic / van ness)
*GREAT STUDIO FOR RENT *,http://sfbay.craigslist.org/eby/apa/d/great-studio-for-rent/6220907368.html,$1090," (Richmond,CA)"
Se Renta  Fabouloso Studio $1090,http://sfbay.craigslist.org/eby/apa/d/se-renta-fabouloso-studio/6216253564.html,$1090," (San Pablo, CA)"
Adorable Benicia studio,http://sfbay.craigslist.org/eby/apa/d/adorable-benicia-studio/6221032824.html,$1400, (vallejo / benicia)
Cozy Studio *18 Mins UCSF* *25mins to SFSU* HWY 101,http://sfbay.craigslist.org/sfc/apa/d/cozy-studio-mins-ucsf-mins/6225540388.html,$1400,
"BIG STUDIO IN A GOOD LOCATION, GOOD FIT FOR 1 OR 2 STUDENTS.",http://sfbay.craigslist.org/eby/apa/d/big-studio-in-good-location/6225549938.html,$1500, (berkeley)
Beautiful country living! Spacious studio apartment for rent,http://sfbay.craigslist.org/nby/apa/d/beautiful-country-living/6225530168.html,$1450, (sebastopol)
Powell Place The Nob Hill Week of Sept 15-22 Available Studio Kitchen,http://sfbay.craigslist.org/sfc/apa/d/powell-place-the-nob-hill/6198445626.html,$1450, (nob hill)
"Great Studio Near Lake Merritt, Close to Fine Dining and Shopping Call",http://sfbay.craigslist.org/eby/apa/d/great-studio-near-lake/6217942390.html,$1495, (oakland lake merritt / grand)
BEAUTIFUL CASITA / STUDIO / IN-LAWS UNIT FOR RENT Windemere San Ramon,http://sfbay.craigslist.org/eby/apa/d/beautiful-casita-studio-in/6225330841.html,$1400, (dublin / pleasanton / livermore)
Cute cottage style studio in Bennett Valley!,http://sfbay.craigslist.org/nby/apa/d/cute-cottage-style-studio/6225308448.html,$1150, (santa rosa)
Spacious and Bright In-Law Studio,http://sfbay.craigslist.org/sfc/apa/d/spacious-and-bright-in-law/6225278093.html,$1400, (sunset / parkside)
Updated Studio Apartment Utilities Included,http://sfbay.craigslist.org/scz/apa/d/updated-studio-apartment/6225300269.html,$1500, (aptos)
"Aptos, Large studio with full kitchen",http://sfbay.craigslist.org/scz/apa/d/aptos-large-studio-with/6219870477.html,$1395, (aptos)
large studio apartment on Furlong Road near Sebastopol and Occidental,http://sfbay.craigslist.org/nby/apa/d/large-studio-apartment-on/6225250206.html,$1300, (sebastopol)
"Cute open floor studio, h/w floor    Close to downtown, transportation",http://sfbay.craigslist.org/sfc/apa/d/cute-open-floor-studio-w/6225196177.html,$1450, (downtown / civic / van ness)
newly remodeled studio*UCSF*CCSF*By HWY 101,http://sfbay.craigslist.org/sfc/apa/d/newly-remodeled/6225125693.html,$1400,
Bright Studio *UCSF* CCSF* By HWY 101,http://sfbay.craigslist.org/sfc/apa/d/bright-studio-ucsf-ccsf-by/6225106002.html,$1400,
1st floor studio apartment in family home,http://sfbay.craigslist.org/eby/apa/d/st-floor-studio-apartment/6225024225.html,$1300," (hercules, pinole, san pablo, el sob)"
Small studio/room located in Excelsior. Newly renovated,http://sfbay.craigslist.org/sfc/apa/d/small-studio-room-located/6198340214.html,$1100, (excelsior / outer mission)
East Bay Studio / Central Location,http://sfbay.craigslist.org/sfc/apa/d/east-bay-studio-central/6190702346.html,$1500, (Albany)
Albany Studio close to anything,http://sfbay.craigslist.org/eby/apa/d/albany-studio-close-to/6190712457.html,$1500, (albany / el cerrito)
Renting a quiet and nice studio cottage,http://sfbay.craigslist.org/eby/apa/d/renting-quiet-and-nice/6221099425.html,$1300, (berkeley)
"Small Studio Apt, Great NOBE Location",http://sfbay.craigslist.org/eby/apa/d/small-studio-apt-great-nobe/6221380691.html,$1395, (oakland north / temescal)
"Save $7,188 - BIG Remodeled Studio Suite - Resident Manager",http://sfbay.craigslist.org/eby/apa/d/save-big-remodeled-studio/6224698012.html,$1499, (berkeley)
>>Near UCB Sunny In-Law Studio,http://sfbay.craigslist.org/eby/apa/d/near-ucb-sunny-in-law-studio/6224669537.html,$1350, (berkeley north / hills)
>Near UCB Sunny In-Law Studio,http://sfbay.craigslist.org/eby/apa/d/near-ucb-sunny-in-law-studio/6222582370.html,$1350, (berkeley)
Renovated West Oakland Studio,http://sfbay.craigslist.org/eby/apa/d/renovated-west-oakland/6221505247.html,$1320, (oakland west)
Studio for Rent,http://sfbay.craigslist.org/pen/apa/d/studio-for-rent/6224506053.html,$1250, (east palo alto)
Large new remodeled 1bd/1ba studio with fantastic view,http://sfbay.craigslist.org/sfc/apa/d/large-new-remodeled-bd-ba/6206244580.html,$1500, (portola district)
Junior in-law studio - Available now,http://sfbay.craigslist.org/sfc/apa/d/junior-in-law-studio/6212554785.html,$1100, (richmond / seacliff)
$1500 425 sq/ft Studio w/ Brand New Kitchen!,http://sfbay.craigslist.org/eby/apa/d/sq-ft-studio-brand-new/6224468204.html,$1500," (hercules, pinole, san pablo, el sob)"
Studio FOR RENT ! Downtown Santa Rosa !,http://sfbay.craigslist.org/nby/apa/d/studio-for-rent-downtown/6203920402.html,$1200, (santa rosa)
"1,300 studio available July 29th",http://sfbay.craigslist.org/eby/apa/d/studio-available-july-th/6224387734.html,$1300, (hayward / castro valley)
Completely Remodeled & Spacious Studio in Uptown Oakland,http://sfbay.craigslist.org/eby/apa/d/completely-remodeled/6224262662.html,$1395, (oakland downtown)
Charming Studio in Extraordinary Vineyard Estate,http://sfbay.craigslist.org/nby/apa/d/charming-studio-in/6224138056.html,$1375, (sebastopol)
"**BayPoint Large Studio with Kitchen, Bath** Near Fwy and BART**",http://sfbay.craigslist.org/eby/apa/d/baypoint-large-studio-with/6203993865.html,$1100, (pittsburg / antioch)
"**BayPoint Large Studio with Kitchen, Bath** Near Fwy and BART**",http://sfbay.craigslist.org/eby/apa/d/baypoint-large-studio-with/6203995025.html,$1100, (concord / pleasant hill / martinez)
"**BayPoint Large Studio with Kitchen, Bath** Near Fwy and BART**",http://sfbay.craigslist.org/eby/apa/d/baypoint-large-studio-with/6203995711.html,$1100, (brentwood / oakley)
"Se renta Estudio-Studio for Rent -$1,000- 3 blocks from Fruitvale BART",http://sfbay.craigslist.org/eby/apa/d/se-renta-estudio-studio-for/6224008761.html,$1000, (oakland east)
Private Studio cottage - Brentwood,http://sfbay.craigslist.org/eby/apa/d/private-studio-cottage/6224009001.html,$1195, (brentwood / oakley)
Cozy Studio*15mins ride to CCSF* *UCSF* By HWY 101,http://sfbay.craigslist.org/sfc/apa/d/cozy-studiomins-ride-to/6223954189.html,$1400,
bright studio *UCSF* 15mins ride to CCSF *BY HWY 101,http://sfbay.craigslist.org/sfc/apa/d/bright-studio-ucsf-mins/6223953885.html,$1400,
Serene Studio garden in-law 2 blocks from the beach,http://sfbay.craigslist.org/sfc/apa/d/serene-studio-garden-in-law/6223945076.html,$1495, (sunset / parkside)
Remodel Studio-Near SFSU-Free Laundry,http://sfbay.craigslist.org/sfc/apa/d/remodel-studio-near-sfsu/6213737670.html,$1450, (ingleside / SFSU / CCSF)
From $1175 very nice renewed studio near downtown Fairfax/San Anselmo,http://sfbay.craigslist.org/nby/apa/d/from-very-nice-renewed/6217231651.html,$1175, (san anselmo)
Woodsy hills studio,http://sfbay.craigslist.org/eby/apa/d/woodsy-hills-studio/6223631533.html,$1200, (berkeley north / hills)
Bright Studio *SFSU* *UCSF* By HWY 101,http://sfbay.craigslist.org/sfc/apa/d/bright-studio-sfsu-ucsf-by/6223555442.html,$1400,
Cozy Studio *UCSF* CCSF* By HWY 101,http://sfbay.craigslist.org/sfc/apa/d/cozy-studio-ucsf-ccsf-by/6223552131.html,$1400,
1 Br-Studio Apartment,http://sfbay.craigslist.org/scz/apa/d/br-studio-apartment/6223525096.html,$1100, (scotts valley)
Studio / granny unit / apartment for rent,http://sfbay.craigslist.org/nby/apa/d/studio-granny-unit/6223432065.html,$1225, (santa rosa)
Spacious Studio! Take a look!,http://sfbay.craigslist.orghttps://stockton.craigslist.org/apa/d/spacious-studio-take-look/6219788854.html,$1005,
Spacious Studio! Take a look...,http://sfbay.craigslist.orghttps://stockton.craigslist.org/apa/d/spacious-studio-take-look/6219789761.html,$1005,
Luxury Studio Apartment **PET FRIENDLY,http://sfbay.craigslist.orghttps://stockton.craigslist.org/apa/d/luxury-studio-apartment-pet/6225413412.html,$1175,
Affordable Studio Going Fast Hurry!!,http://sfbay.craigslist.orghttps://stockton.craigslist.org/apa/d/affordable-studio-going/6223658754.html,$1005,
Studio Apartment Located In Lower Seaside - 2010 Mendocino St.,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/studio-apartment-located-in/6185344020.html,$1475,
Studio Apartment In Salinas Close To Old Town - 117 John St.,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/studio-apartment-in-salinas/6207701120.html,$1150,
Studio Apartment In Prunedale- 1017 El Camino Real N.,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/studio-apartment-in/6218363486.html,$1050,
Studio/Basement For Rent,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/studio-basement-for-rent/6212384194.html,$1200,
Newly Romodeled Studio City Center Plaza,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/newly-romodeled-studio-city/6225222688.html,$1050,
Studio in Marina,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/studio-in-marina/6224951152.html,$1325,
Large studio near DLI -- $1310,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/large-studio-near-dli/6224490043.html,$1310,
Studio Plus in South Salinas,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/studio-plus-in-south-salinas/6224274848.html,$1190,
Charming Studio  in excellant location,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/charming-studio-in/6224147728.html,$1095,
Carmel Valley Studio,http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/carmel-valley-studio/6223924579.html,$1200,
"STUDIO/ROOM, FULLY FURNISHED, ALL UTILITIES INCLUDED",http://sfbay.craigslist.orghttps://monterey.craigslist.org/apa/d/studio-room-fully-furnished/6200832224.html,$1150,
Large Studio apartment home...located near our gym and clubhouse,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/large-studio-apartment/6226788259.html,$1025,
Super cozy and spacious studio apartment home,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/super-cozy-and-spacious/6226568668.html,$1025,
Super cozy and spacious studio apartment home,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/super-cozy-and-spacious/6225032274.html,$1060,
Super cozy and spacious studio apartment home,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/super-cozy-and-spacious/6223775403.html,$1065,
"Penthouse Studio! Heart of Downtown Sacramento! Less than $1,500!!",http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/penthouse-studio-heart-of/6227026470.html,$1432,
Great Location - Nice Studio Apartment,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/great-location-nice-studio/6223575126.html,$1150,
Great Downstairs STUDIO just for you!,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/great-downstairs-studio/6196633825.html,$1060,
Beautiful Studio Apartment,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/beautiful-studio-apartment/6225611542.html,$1500,
$1500 Coveted STUDIO -,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/coveted-studio/6216349410.html,$1500,
"Studio Apt in senior community,  great view of the Capital Park $1005",http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/studio-apt-in-senior/6225149344.html,$1005,
Downstairs Junior/Studio Floor Plan Ready August 12th!,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/downstairs-junior-studio/6217907622.html,$1200,
"Studio for rent, downtown behind Capitol",http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/studio-for-rent-downtown/6224225571.html,$1100,
"Studio Apt in senior community,  great view of the Capital Park $1005",http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/studio-apt-in-senior/6214910959.html,$1005,
OPEN HOUSE TODAY from 5:30-6:00pm ~ Midtown STUDIO ~ Huge Closet ~,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/open-house-today-from-pm/6223794282.html,$1050,
Downstairs Junior/Studio Floor Plan Ready Aug 12th!,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/downstairs-junior-studio/6210320309.html,$1200,
Downstairs Junior/Studio Floor Plan Ready August 12th!,http://sfbay.craigslist.orghttps://sacramento.craigslist.org/apa/d/downstairs-junior-studio/6210381856.html,$1200,
